"vip_id","mk_individual_id","mk_individual_name","mk_individual_name_eng","mk_individual_first_name","mk_individual_first_name_eng"
"000000405",12,"אלון","Elon","בנימין","Benyamin"
"000000412",46,"הנדל","Hendel","צבי","Zvi"
"000000421",209,"כהן","Cohen","אליעזר","Eliezer"
"000000430",121,"שטרן","Shtern","יורי","Yuri"
"000000431",704,"אביטל","Avital","קולט","Colette"
"000000433",8,"איציק","Itzik","דליה","Dalia"
"000000434",137,"בורג","Burg","אברהם","Avraham"
"000000435",20,"בן-אליעזר","Ben-Eliezer","בנימין (פואד)","Binyamin (Fouad)"
"000000437",22,"בן-מנחם","Ben-Menachem","אלי","Eli"
"000000442",59,"טריף","Tarif","סאלח","Saleh"
"000000445",64,"כבל","Cabel","איתן","Eitan"
"000000449",220,"מלכיאור","Melchior","מיכאל","Michael"
"000000454",94,"סנה","Sneh","אפרים","Ephraim"
"000000455",100,"פינס-פז","Pines-Paz","אופיר","Ophir"
"000000456",104,"פרס","Peres","שמעון","Shimon"
"000000458",115,"רמון","Ramon","חיים","Haim"
"000000459",117,"שוחט","Shochat","אברהם בייגה","Avraham"
"000000461",123,"שמחון","Simhon","שלום","Shalom"
"000000462",9,"איתן","Eitan","מיכאל","Michael"
"000000464",16,"בוים","Boim","זאב","Ze`ev"
"000000465",19,"בלומנטל","Blumenthal","נעמי","Naomi"
"000000466",42,"הירשזון","Hirchson","אברהם","Abraham"
"000000467",45,"הנגבי","Hanegbi","צחי","Tzachi"
"000000468",69,"כץ","Katz","ישראל","Yisrael"
"000000469",213,"לבני","Livni","ציפי","Tzipi"
"000000470",70,"לבנת","Livnat","לימור","Limor"
"000000471",77,"לנדאו","Landau","עוזי","Uzi"
"000000473",223,"נוה","Naveh","דני","Dan"
"000000474",96,"עזרא","Ezra","גדעון","Gideon"
"000000475",230,"קרא","Kara","איוב","Ayoob"
"000000476",114,"ריבלין","Rivlin","ראובן","Reuven"
"000000477",695,"שטייניץ","Steinitz","יובל","Yuval"
"000000478",119,"שטרית","Sheetrit","מאיר","Meir"
"000000479",122,"שלום","Shalom","סילבן","Silvan"
"000000482",125,"שרון","Sharon","אריאל","Ariel"
"000000483",7,"אזולאי","Azoulay","דוד","David"
"000000484",25,"בניזרי","Benizri","שלמה","Shlomo"
"000000487",37,"דהן","Dahan","נסים","Nissim"
"000000488",50,"וקנין","Vaknin","יצחק","Yitzhak"
"000000490",206,"זאב","Zeev","נסים","Nissim"
"000000493",58,"טל","Tal","דוד","David"
"000000494",63,"ישי","Yishai","אליהו","Eliyahu"
"000000495",210,"כהן","Cohen","אמנון","Amnon"
"000000498",222,"נהרי","Nahari","משולם","Meshulam"
"000000501",228,"פרץ","Peretz","יאיר","Yair"
"000000504",201,"גלאון","Galon","זהבה","Zehava"
"000000505",203,"וילן","Vilan","אבשלום (אבו)","Avshalom"
"000000507",66,"כהן","Cohen","רן","Ran"
"000000512",126,"שריד","Sarid","יוסי","Yossi"
"000000513",196,"בריילובסקי","Brailovsky","ויקטור","Victor"
"000000517",217,"לפיד","Lapid","יוסף (טומי)","Tommy"
"000000518",221,"נאות","Naot","יהודית","Yehudith"
"000000519",98,"פורז","Poraz","אברהם","Avraham"
"000000520",227,"פריצקי","Paritzky","יוסף יצחק","Joseph"
"000000521",194,"אורלב","Orlev","זבולון","Zevulun"
"000000524",61,"יהלום","Yahalom","שאול","Shaul"
"000000526",35,"גפני","Gafni","משה","Moshe"
"000000528",216,"ליצמן","Litzman","יעקב","Yakov"
"000000531",112,"רביץ","Ravitz","אברהם","Avraham"
"000000532",1,"אדלשטיין","Edelstein","יולי יואל","Yuli-Yoel"
"000000533",91,"סולודקין","Solodkin","מרינה","Marina"
"000000536",72,"לוי","Levy","דוד","David"
"000000540",197,"ברכה","Barakeh","מוחמד","Mohammad"
"000000542",218,"מח`ול","Makhoul","עסאם","Issam"
"000000549",13,"אלסאנע","El-Sana","טלב","Talab"
"000000550",36,"דהאמשה","Dehamshe","עבד-אלמאלכ","Abdulmalik"
"000000552",26,"ברונפמן","Bronfman","רומן","Roman"
"000000556",212,"כץ","Katz","חיים","Haim"
"000000557",105,"פרץ","Peretz","עמיר","Amir"
"000000558",29,"בשארה","Bishara","עזמי","Azmi"
"000000560",208,"טיבי","Tibi","אחמד","Ahmad"
"000000563",103,"פרוש","Porush","מאיר","Meir"
"000000565",89,"נודלמן","Nudelman","מיכאל","Michael"
"000000567",54,"זנדברג","Sandberg","אליעזר","Eliezer"
"000000580",65,"כהן","Cohen","יצחק","Yitzhak"
"000000713",713,"אריאל","Ariel","אורי יהודה","Uri Yehuda"
"000000763",715,"איתם","Eitam","אפי","Effie"
"000000765",73,"לוי","Levy","יצחק","Yitzhak"
"000000865",717,"נוקד","Noked","אורית","Orit"
"000000965",90,"נתניהו","Netanyahu","בנימין","Benjamin"
"000001025",723,"גמליאל","Gamliel","גילה","Gila"
"000001026",724,"אברהם בלילא","Avraham Balila","רוחמה","Ruhama"
"000001027",725,"סער","Sa`ar","גדעון","Gideon"
"000001028",726,"בנלולו","Benlolo","דניאל","Daniel"
"000001029",169,"רצון","Ratzon","מיכאל","Michael"
"000001030",727,"והבה","Whbee","מגלי","Majallie"
"000001031",728,"אדרי","Edery","יעקב","Jacob"
"000001032",729,"יתום","Yatom","אהוד","Ehud"
"000001033",730,"אפללו","Aflalo","אלי","Eli"
"000001034",731,"כחלון","Kahlon","משה","Moshe "
"000001035",732,"שרון","Sharon","עמרי","Omri"
"000001036",733,"גורלובסקי","Gorlovsky","מיכאל","Michael"
"000001037",734,"ארדן","Erdan","גלעד","Gilad"
"000001038",735,"בר-און","Bar-On","רוני","Ronnie"
"000001039",736,"גבריאלי","Gavriely","ענבל","Inbal"
"000001040",737,"חזן","Hazan","יחיאל","Yehiel"
"000001041",738,"נס","Nass","לאה","Lea"
"000001042",739,"מצנע","Mitzna","עמרם","Amram"
"000001043",697,"תמיר","Tamir","יולי","Yuli"
"000001044",740,"הרצוג","Herzog","יצחק","Isaac"
"000001045",741,"יתום","Yatom","דני","Dani"
"000001046",742,"שלגי","Shalgi","אילן","Ilan"
"000001047",743,"פולישוק-בלוך","Polishook-Bloch","מלי","Meli"
"000001048",744,"חן","Chayne","רשף","Reshef"
"000001049",745,"בריזון","Brison","רוני (אהרן)","Ronny A."
"000001050",746,"רצאבי","Rassabi","אהוד","Ehud"
"000001051",747,"לבני","Livni","אתי","Eti"
"000001052",748,"ליבוביץ","Leibovitch","אילן","Ilan"
"000001053",749,"דורון","Doron","חמי","Chemi"
"000001054",750,"יאסינוב","Yasinov","יגאל","Igal"
"000001055",752,"אלדד","Eldad","אריה","Arieh"
"000001056",751,"מרגי","Margi","יעקב","Yakov"
"000001057",754,"אייכלר","Eichler","ישראל","Israel"
"000001059",753,"פינקלשטיין","Finkelstein","גילה","Gila"
"000001061",756,"זחאלקה","Zahalka","ג`מאל","Jamal"
"000001062",757,"טאהא","Taha","ואסל","Wasil"
"000001063",755,"כהן","Cohen","אילנה","Ilana"
"000001064",3,"אולמרט","Olmert","אהוד","Ehud"
"000001065",5,"אורון","Oron","חיים","Chaim"
"000001067",204,"וילנאי","Vilnai","מתן","Matan"
"000001068",92,"סלומינסקי","Slomiansky","ניסן","Nissan"
"000007736",809,"פלסנר","Plesner","יוחנן","Yohanan",